51300010135,dga,109,68
51300054102,eee,4,125
51300057505,afa,201,75
51300083326,fgc,58,194
51300112575,gdg,176,141
51300139231,bda,255,279
51300140892,bba,253,122
51300217437,gee,163,216
51300263692,baf,56,66
51300331202,efe,213,118
51300332182,bdb,10,8
51300369931,bac,298,158
51300390464,daf,42,68
51300425231,bcg,26,272
51300457112,fbe,99,200
51300468065,gda,249,227
51300631590,aeg,97,161
51300651466,cfg,62,42
51300657648,dbe,15,129
51300671216,cae,59,211
51300673705,eda,219,213
51300751047,aff,156,211
51300763949,bbf,116,279
51300784783,ebf,252,190
51300795815,gag,221,258
51300802644,cab,238,92
51300866980,ebf,103,180
51300924067,ade,103,293
51300963156,aba,220,26
51300971010,gcc,256,152
51300995578,eab,262,214
51301022945,gce,12,223
51301085147,agc,104,52
51301101341,cgb,29,245
51301133395,fge,150,73
51301180822,aca,293,221
51301201692,cac,250,255
51301250996,abf,294,108
51301256858,daf,151,58
51301281759,efb,135,21
51301282378,bcg,76,250
51301313829,bbc,293,133
51301369363,afd,128,167
51301389323,egf,233,125
51301403852,gbd,200,196
51301413958,dgg,181,70
51301444038,gfg,72,271
51301446947,egb,230,260
51301449799,dce,51,155
51301498353,dge,184,126
51301519643,eef,122,158
51301549775,aed,36,39
51301555943,dda,239,233
51301573355,aeg,296,138
51301615771,dac,241,279
51301622163,bge,193,74
51301634505,gbd,259,172
51301759889,afd,126,193
51301799141,dde,152,222
51301828578,bbf,241,237
51301862874,abd,38,222
51301886267,ddb,164,126
51301889611,daf,50,56
51301900252,cgg,43,129
51301918553,eab,204,190
51301929220,cef,111,215
51301932420,fgd,62,38
51301953115,fef,7,254
51301954863,cfd,105,212
51301965968,dfa,173,106
51301990968,ccb,160,33
51301995261,gae,121,213
51302006283,aag,216,223
51302009652,edb,143,297
51302014313,cbd,32,210
51302026476,gfb,152,197
51302035082,eee,103,108
51302061704,abf,298,86
51302066407,ebc,110,37
51302084548,dga,113,68
51302101260,aea,93,94
51302108540,eaf,124,175
51302114287,dbb,105,251
51302116777,cfa,18,80
51302150317,bce,185,173
51302205475,fcf,148,72
51302285827,dgc,272,215
51302321316,bbg,192,26
51302335497,bfa,266,13
51302337323,gdd,196,107
51302370336,bda,154,279
51302411092,ead,158,69
51302419835,bbe,141,62
51302430608,cga,6,234
51302439187,aac,252,285
51302439511,fad,17,110
51302443991,fgb,11,29
51302457358,gcf,279,288
51302457589,dcb,119,47
51302458553,ggc,142,141
51302473859,afa,113,89
51302485968,gfc,106,294
51302495629,bda,114,256
51302513235,gaf,16,57
51302530361,adb,281,97
51302548941,bae,226,71
51302563421,cad,178,162
51302596807,bfe,77,166
51302607850,dgg,200,73
51302614342,cff,236,272
51302636405,fbe,277,178
51302648849,gdf,126,184
51302653086,aed,112,43
51302663398,aag,190,189
51302760903,dbg,245,135
51302790613,ffd,196,9
51302809709,eaa,86,191
51302840784,bdc,84,285
51302860214,bgd,237,171
51302876850,ded,33,242
51302893959,ddf,207,289
51302894214,fae,90,27
51302910037,cda,251,21
51302929199,fdd,91,281
51302930290,cbb,94,33
51302936360,afe,59,208
51302951421,bge,242,76
51302994125,fac,256,72
51303037533,cec,154,266
51303042875,dfb,232,289
51303114207,bcc,154,185
51303114700,dba,198,170
51303206917,efe,277,95
51303211296,acg,39,264
51303251521,cfb,162,285
51303252912,fgg,252,216
51303298421,aec,283,181
51303405294,cbe,229,271
51303500525,faf,57,295
51303538842,bca,67,94
51303575678,bae,108,61
51303584980,eaf,236,161
51303586176,abd,271,261
51303622378,gfc,108,317
51303646509,abc,282,248
51303646901,gdg,15,148
51303723034,bef,73,124
51303727125,dfa,291,120
51303728017,aca,218,183
51303757323,cgb,92,257
51303806576,adc,217,201
51303808758,bgb,96,128
51303828751,efg,276,267
51303841509,bae,204,51
51303849726,fbd,56,223
51303924978,aab,28,237
51303970113,gcc,286,177
51304016887,fed,18,52
51304024719,gce,187,240
51304030010,cce,139,55
51304065137,gab,91,83
51304100178,bfg,178,132
51304149634,cgb,236,290
51304182080,aba,200,22
51304236880,ffb,35,44
51304283094,gff,185,268
51304287364,cfa,148,84
51304297633,cdc,227,32
51304299377,ddc,253,111
51304338758,bad,144,147
51304366467,bad,293,164
51304377839,cae,124,208
51304379242,bfb,273,76
51304393216,bcb,293,80
51304393539,abg,188,299
51304396905,bgf,235,12
51304410169,ebg,241,232
51304437660,fbf,268,52
51304453963,dag,298,87
51304455161,gbb,160,103
51304474780,ffe,19,231
51304497189,ccc,290,234
51304503875,efg,10,301
51304504638,gde,236,74
51304509157,cde,173,191
51304537845,bdb,72,8
51304541717,feg,264,227
51304560517,cba,291,184
51304565559,cfe,244,215
51304566638,feb,132,39
51304571854,ebg,265,215
51304576287,eag,203,132
51304589813,eac,130,273
51304621701,cfe,288,255
51304630864,beb,187,12
51304645167,gga,115,107
51304648662,gae,4,230
51304650394,aeg,51,164
51304677523,bea,98,204
51304712530,dcg,56,103
51304755439,ded,186,275
51304759846,bca,110,92
51304761062,eca,264,216
51304778580,dae,144,290
51304818239,ccg,229,155
51304819428,aaa,79,47
51304825681,fac,46,81
51304863304,ecc,205,106
51304869979,cdb,239,219
51304910320,adb,104,95
51304922881,dba,266,168
51304997220,aee,70,69
51305040793,ggf,27,183
51305042285,ddd,251,54
51305045695,bbd,134,191
51305054494,dcc,13,146
51305060076,dbb,237,205
51305067692,bbb,146,236
51305081819,bdg,247,246
51305086020,ffb,168,43
51305100417,gfd,233,228
51305101044,age,20,65
51305122833,gfa,269,211
51305128169,gfd,44,234
51305143645,egf,240,122
51305170157,cgf,295,80
51305183847,cde,266,175
51305185292,afe,25,199
51305185717,eda,285,227
51305229673,bfc,36,34
51305241056,bff,295,173
51305264527,cbg,120,182
51305267221,baf,291,73
51305269394,acf,248,123
51305293684,gea,121,65
51305325552,bga,68,251
51305337959,bba,1,145
51305355772,edf,112,17
51305355902,ebd,98,149
51305363028,eeb,28,250
51305373896,gab,93,71
51305412915,ecd,237,206
51305413750,edc,284,44
51305456047,cfg,275,47
51305471947,eee,53,116
51305499525,cba,139,206
51305523488,aeb,107,239
51305541437,ege,8,284
51305550002,bee,112,105
51305551707,dgf,286,81
51305560879,edc,278,36
51305609659,gae,21,220
51305610568,gbc,115,30
51305639257,deb,274,276
51305648966,efd,160,248
51305661082,fgc,247,226
51305693906,fdg,298,288
51305696217,gcc,32,175
51305701729,cbf,37,93
51305724453,edd,198,9
51305751774,def,219,21
51305758524,dca,112,21
51305768560,cea,173,76
51305794395,dad,268,202
51305807966,afg,21,19
51305808807,ceb,219,281
51305812215,gea,284,55
51305840205,edb,226,350
51305845930,fcg,133,186
51305848722,baa,170,10
51305869757,fec,279,70
